,, Settings - Aurora,10 03 45 00 00 06 00 00 00 00 00 00 00 00 00 00 A0 9C
,, Settings - Red_Hot,10 03 45 00 00 07 00 00 00 00 00 00 00 00 00 00 E9 44
,, Setting-Jungle,10 03 45 00 00 08 00 00 00 00 00 00 00 00 00 00 DA CF
,, Settings-Medical,10 03 45 00 00 09 00 00 00 00 00 00 00 00 00 00 93 17
,, Settings - Black_Hot,10 03 45 00 00 0A 00 00 00 00 00 00 00 00 00 00 69 6F
,, Setting-Golden Red Glory_Hot,10 03 45 00 00 0B 00 00 00 00 00 00 00 00 00 00 20 B7
,, Get,10 03 85 00 00 00 00 00 00 00 00 00 01 00 00 00 21 67
, Detail Enhancement, Setting - 0,10 04 45 00 00 00 00 00 00 00 00 00 00 00 00 00 C3 15
,, Settings - 10 levels,10 04 45 00 0A 00 00 00 00 00 00 00 00 00 00 00 81 08
,, Settings - 20 levels,10 04 45 00 14 00 00 00 00 00 00 00 00 00 00 00 47 2F
,, Setting - 30 levels,10 04 45 00 1E 00 00 00 00 00 00 00 00 00 00 00 05 32
,, Settings - 40 levels,10 04 45 00 28 00 00 00 00 00 00 00 00 00 00 00 CB 60
,, Setting - 50 levels,10 04 45 00 32 00 00 00 00 00 00 00 00 00 00 00 D9 4A
,, Setting - 60 levels,10 04 45 00 3C 00 00 00 00 00 00 00 00 00 00 00 4F 5A
,, Setting - 70 levels,10 04 45 00 46 00 00 00 00 00 00 00 00 00 00 00 BD C3
,, Setting - 80,10 04 45 00 50 00 00 00 00 00 00 00 00 00 00 00 D3 FF
,, Setting - 90 gears,10 04 45 00 5A 00 00 00 00 00 00 00 00 00 00 00 91 E2
,, Setting -100,10 04 45 00 64 00 00 00 00 00 00 00 00 00 00 00 F7 AB
,, Get,10 04 85 00 01 00 00 00 00 00 00 00 01 00 00 00 C3 1C
, brightness, Setting - 0,10 04 47 00 00 00 00 00 00 00 00 00 00 00 00 00 01 E3
,, Settings - 10 levels,10 04 47 00 0A 00 00 00 00 00 00 00 00 00 00 00 43 FE
,, Settings - 20 levels,10 04 47 00 14 00 00 00 00 00 00 00 00 00 00 00 85 D9
,, Setting - 30 levels,10 04 47 00 1E 00 00 00 00 00 00 00 00 00 00 00 C7 C4
,, Settings - 40 levels,10 04 47 00 28 00 00 00 00 00 00 00 00 00 00 00 09 96
,, Setting - 50 levels,10 04 47 00 32 00 00 00 00 00 00 00 00 00 00 00 1B BC
,, Setting - 60 levels,10 04 47 00 3C 00 00 00 00 00 00 00 00 00 00 00 8D AC
,, Setting - 70 levels,10 04 47 00 46 00 00 00 00 00 00 00 00 00 00 00 7F 35
,, Setting - 80,10 04 47 00 50 00 00 00 00 00 00 00 00 00 00 00 11 09
,, Setting - 90 gears,10 04 47 00 5A 00 00 00 00 00 00 00 00 00 00 00 53 14
,, Setting -100,10 04 47 00 64 00 00 00 00 00 00 00 00 00 00 00 35 5D
,, Get,10 04 87 00 01 00 00 00 00 00 00 00 01 00 00 00 01 EA
, Contrast, Setting - 0,10 04 4A 00 00 00 00 00 00 00 00 00 00 00 00 00 AE 8E
,, Settings - 10 levels,10 04 4A 00 0A 00 00 00 00 00 00 00 00 00 00 00 EC 93
,, Settings - 20 levels,10 04 4A 00 14 00 00 00 00 00 00 00 00 00 00 00 2A B4
,, Setting - 30 levels,10 04 4A 00 1E 00 00 00 00 00 00 00 00 00 00 00 68 A9
,, Settings - 40 levels,10 04 4A 00 28 00 00 00 00 00 00 00 00 00 00 00 A6 FB
,, Setting - 50 levels,10 04 4A 00 32 00 00 00 00 00 00 00 00 00 00 00 B4 D1
,, Setting - 60 levels,10 04 4A 00 3C 00 00 00 00 00 00 00 00 00 00 00 22 C1
,, Setting - 70 levels,10 04 4A 00 46 00 00 00 00 00 00 00 00 00 00 00 D0 58
,, Setting - 80,10 04 4A 00 50 00 00 00 00 00 00 00 00 00 00 00 BE 64
,, Setting - 90 gears,10 04 4A 00 5A 00 00 00 00 00 00 00 00 00 00 00 FC 79
,, Setting -100,10 04 4A 00 64 00 00 00 00 00 00 00 00 00 00 00 9A 30
,, Get,10 04 8A 00 01 00 00 00 00 00 00 00 01 00 00 00 AE 87
, Airspace Noise Reduction, Setting - 0,10 04 4B 00 00 00 00 00 00 00 00 00 00 00 00 00 CF F5
,, Settings - 10 levels,10 04 4B 00 0A 00 00 00 00 00 00 00 00 00 00 00 8D E8
,, Settings - 20 levels,10 04 4B 00 14 00 00 00 00 00 00 00 00 00 00 00 4B CF
,, Setting - 30 levels,10 04 4B 00 1E 00 00 00 00 00 00 00 00 00 00 00 09 D2
,, Settings - 40 levels,10 04 4B 00 28 00 00 00 00 00 00 00 00 00 00 00 C7 80
,, Setting - 50 levels,10 04 4B 00 32 00 00 00 00 00 00 00 00 00 00 00 D5 AA
,, Setting - 60 levels,10 04 4B 00 3C 00 00 00 00 00 00 00 00 00 00 00 43 BA
,, Setting - 70 levels,10 04 4B 00 46 00 00 00 00 00 00 00 00 00 00 00 B1 23
,, Setting - 80,10 04 4B 00 50 00 00 00 00 00 00 00 00 00 00 00 DF 1F
,, Setting - 90 gears,10 04 4B 00 5A 00 00 00 00 00 00 00 00 00 00 00 9D 02
,, Setting -100,10 04 4B 00 64 00 00 00 00 00 00 00 00 00 00 00 FB 4B
,, Get,10 04 8B 00 01 00 00 00 00 00 00 00 01 00 00 00 CF FC
, Temporal noise reduction, Setting - 0,10 04 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 C9 85
,, Settings - 10 levels,10 04 4C 00 0A 00 00 00 00 00 00 00 00 00 00 00 8B 98
,, Settings - 20 levels,10 04 4C 00 14 00 00 00 00 00 00 00 00 00 00 00 4D BF
,, Setting - 30 levels,10 04 4C 00 1E 00 00 00 00 00 00 00 00 00 00 00 0F A2
,, Settings - 40 levels,10 04 4C 00 28 00 00 00 00 00 00 00 00 00 00 00 C1 F0
,, Setting - 50 levels,10 04 4C 00 32 00 00 00 00 00 00 00 00 00 00 00 D3 DA
,, Setting - 60 levels,10 04 4C 00 3C 00 00 00 00 00 00 00 00 00 00 00 45 CA
,, Setting - 70 levels,10 04 4C 00 46 00 00 00 00 00 00 00 00 00 00 00 B7 53
,, Setting - 80,10 04 4C 00 50 00 00 00 00 00 00 00 00 00 00 00 D9 6F
,, Setting - 90 gears,10 04 4C 00 5A 00 00 00 00 00 00 00 00 00 00 00 9B 72
,, Setting -100,10 04 4C 00 64 00 00 00 00 00 00 00 00 00 00 00 FD 3B
,, Get,10 04 8C 00 01 00 00 00 00 00 00 00 01 00 00 00 C9 8C
, Gamma intensity, Setting - 0,10 04 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 A8 FE
,, Settings - 10 levels,10 04 4D 00 0A 00 00 00 00 00 00 00 00 00 00 00 EA E3
,, Settings - 20 levels,10 04 4D 00 14 00 00 00 00 00 00 00 00 00 00 00 2C C4
,, Setting - 30 levels,10 04 4D 00 1E 00 00 00 00 00 00 00 00 00 00 00 6E D9
,, Settings - 40 levels,10 04 4D 00 28 00 00 00 00 00 00 00 00 00 00 00 A0 8B
,, Setting - 50 levels,10 04 4D 00 32 00 00 00 00 00 00 00 00 00 00 00 B2 A1
,, Setting - 60 levels,10 04 4D 00 3C 00 00 00 00 00 00 00 00 00 00 00 24 B1
,, Setting - 70 levels,10 04 4D 00 46 00 00 00 00 00 00 00 00 00 00 00 D6 28
,, Setting - 80,10 04 4D 00 50 00 00 00 00 00 00 00 00 00 00 00 B8 14
,, Setting - 90 gears,10 04 4D 00 5A 00 00 00 00 00 00 00 00 00 00 00 FA 09
,, Setting -100,10 04 4D 00 64 00 00 00 00 00 00 00 00 00 00 00 9C 40
,, Get,10 04 8D 00 01 00 00 00 00 00 00 00 01 00 00 00 A8 F7
, Hook edge position, Setting - 0,10 04 4E 00 00 00 00 00 00 00 00 00 00 00 00 00 0b 73
,, Setting - 1st gear,10 04 4E 00 01 00 00 00 00 00 00 00 00 00 00 00 7e 70
,, Setting - 2 levels,10 04 4E 00 02 00 00 00 00 00 00 00 00 00 00 00 e1 75
,, Get,10 04 8E 00 01 00 00 00 00 00 00 00 01 00 00 00 7e 79
