command category,command name,command setting,Command,command remarks,Command Class,Module Command Index,SubCmd,reserved,Para1[0],Para1[1],Para1[2],Para1[3],Para2[0],Para2[1],Para2[2],Para2[3],Len[0],Len[1],"Reserved, write a fixed value of 0x0000","Reserved, write a fixed value of 0x0000",CRC check result of instruction data part,CRC check result of instruction data part,Instruction data part (merged)
Shutter related,Automatic shutter parameters,Get-Temperature,Automatic shutter parameters [Get-Temperature], BE AA 03 00 005A 00 70 A8 EB AA: means 0x005A=90. Approximately 90/32=2.81 degrees,0x10,0x02,0x82,0x00,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x4E,0xFA,10 02 82 00 00 01 00 00 00 00 00 00 02 00 00 00 4E FA
Shutter related,Automatic shutter parameters,Get-Minimum Interval Time,Automatic shutter parameters [Get-Minimum Interval Time],BE AA 03 00 00 05 00 F1 B6 EB AA: means 0x0005=5s,0x10,0x02,0x82,0x00,0x01,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0x3B,0xF9,10 02 82 00 01 01 00 00 00 00 00 00 02 00 00 00 3B F9
Shutter related,Automatic shutter parameters,Get-Maximum Interval Time,Automatic shutter parameters [Get-Maximum Interval Time], BE AA 03 00 002C 01 AE 1A EB AA: means 0x012C=300s,0x10,0x02,0x82,0x00,0x02,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x00,0x00,0x00,0xA4,0xFC,10 02 82 00 02 01 00 00 00 00 00 00 02 00 00 00 A4 FC
Calibration related instructions,k value,Calibrate k value - collect low temperature first,k value [Calibrate k value - collect low temperature first],"Calibration step 1: Aim at a low-temperature black body, the black body temperature is 25? or below, and the picture flashes to complete",0x10,0x11,0x41,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xA2,0x93,10 11 41 00 00 00 00 00 00 00 00 00 00 00 00 00 A2 93
Calibration related instructions,k value,Calibrate k value-collect high temperature again,k value [Calibrate k value-collect high temperature again],Calibration step 2: Aim at a high-temperature black body. The black body temperature is 60°C or above. The image flashes and the calibration is complete.,0x10,0x11,0x41,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xD7,0x90,10 11 41 00 01 00 00 00 00 00 00 00 00 00 00 00 D7 90
Calibration related instructions,k value,Calibrate k value-collection and calculation,k value [Calibrate k value-collection and calculation],Calibration step 3: perform calculations and check the calibration results after completion,0x10,0x11,0x41,0x00,0x02,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x48,0x95,10 11 41 00 02 00 00 00 00 00 00 00 00 00 00 00 48 95
Calibration related instructions,k value,Save k value,k value [Save k value],"Calibration step 4: If the result is OK, save the result.",0x10,0x11,0x43,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x60,0x65,10 11 43 00 00 00 00 00 00 00 00 00 00 00 00 00 60 65
Calibration related instructions,k value,Cancel calibration results,k value [Cancel calibration results],"If the effect is not OK, cancel the calibration and restore to the state before calibration.",0x10,0x11,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x1E,10 11 42 00 00 00 00 00 00 00 00 00 00 00 00 00 01 1E
Calibration related instructions,k value,Clear k value,k value [Clear k value],Used to test the effect of no K value calibration,0x10,0x11,0x44,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x66,0x15,10 11 44 00 00 00 00 00 00 00 00 00 00 00 00 00 66 15
Calibration related instructions,k value,Restore factory K value data,k value [Restore factory K value data],"After restoring the factory data, save",0x10,0x11,0x45,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x07,0x6E,10 11 45 00 00 00 00 00 00 00 00 00 00 00 00 00 07 6E
Calibration related instructions,Blind Element,Automatic blind calibration,Blind Element [Automatic blind calibration],,0x10,0x11,0x51,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x55,0x55,10 11 51 00 00 00 00 00 00 00 00 00 00 00 00 00 55 55
Calibration related instructions,Blind Element,Cursor switch setting-enable,Blind Element [Cursor switch setting-enable],,0x10,0x11,0x57,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x47,0x5D,10 11 57 00 01 00 00 00 00 00 00 00 00 00 00 00 47 5D
Calibration related instructions,Blind Element,Cursor switch setting - ing,Blind Element [Cursor switch setting - ing],,0x10,0x11,0x57,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x32,0x5E,10 11 57 00 00 00 00 00 00 00 00 00 00 00 00 00 32 5E
Calibration related instructions,Blind Element,Cursor switch acquisition,Blind Element [Cursor switch acquisition], BE AA 02 00 0001 8C EA EB AA: Indicates enabling BE AA 02 00 0000 AD FA EB AA: Indicates ing,0x10,0x11,0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0xD7,0x99,10 11 81 00 00 00 00 00 00 00 00 00 01 00 00 00 D7 99
Calibration related instructions,Blind Element,"Cursor position setting - (300, 280) - Example","Blind Element [Cursor position setting - (300, 280) - Example]",Para1[1]+Para1[0]: x-axis coordinate 0x012C represents 300 Para1[3]+Para1[2]: y-axis coordinate 0x0118 represents 280,0x10,0x11,0x58,0x00,0x2C,0x01,0x18,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x34,0x50,10 11 58 00 2C 01 18 01 00 00 00 00 00 00 00 00 34 50
Calibration related instructions,Blind Element,Get cursor position,Blind Element [Get cursor position], BE AA 05 00 002C 01 18 01 42 83 EB AA,0x10,0x11,0x82,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x04,0x00,0x00,0x00,0x31,0xA8,10 11 82 00 00 00 00 00 00 00 00 00 04 00 00 00 31 A8
Calibration related instructions,Blind Element,"Set the cursor point to the blind pixel (manual calibration) - (300, 280) - Example","Blind Element [Set the cursor point to the blind pixel (manual calibration) - (300, 280) - Example]","After setting the blind pixel, it will take effect immediately, that is, the blind pixel point disappears on the screen but will not be automatically saved. After all the blind pixels are calibrated, call the save blind pixel command.",0x10,0x11,0x52,0x00,0x2C,0x01,0x18,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x9D,0x4D,10 11 52 00 2C 01 18 01 00 00 00 00 00 00 00 00 9D 4D
Calibration related instructions,Blind Element,"Set the cursor point to a non-blind element (manual calibration) - (300, 280) - Example","Blind Element [Set the cursor point to a non-blind element (manual calibration) - (300, 280) - Example]",,0x10,0x11,0x52,0x01,0x2C,0x01,0x18,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xFE,0x08,10 11 52 01 2C 01 18 01 00 00 00 00 00 00 00 00 FE 08
Calibration related instructions,Blind Element,Cancel this calibration data,Blind Element [Cancel this calibration data],,0x10,0x11,0x53,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x97,0xA3,10 11 53 00 00 00 00 00 00 00 00 00 00 00 00 00 97 A3
Calibration related instructions,Blind Element,Saving blind data,Blind Element [Saving blind data],,0x10,0x11,0x54,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x91,0xD3,10 11 54 00 00 00 00 00 00 00 00 00 00 00 00 00 91 D3
Calibration related instructions,Blind Element,Clear blind data,Blind Element [Clear blind data],,0x10,0x11,0x55,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xF0,0xA8,10 11 55 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 A8
Calibration related instructions,Blind Element,Restore factory blind data,Blind Element [Restore factory blind data],,0x10,0x11,0x56,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x53,0x25,10 11 56 00 00 00 00 00 00 00 00 00 00 00 00 00 53 25
Calibration related instructions,Pot lid,Calibration lid,Pot lid [Calibration lid],Step 1: Aim at the uniform surface and issue this command. The screen will freeze and will be completed after thawing.,0x10,0x11,0x61,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x6D,0x0E,10 11 61 00 00 00 00 00 00 00 00 00 00 00 00 00 6D 0E
Calibration related instructions,Pot lid,Save the lid,Pot lid [Save the lid],"Step 2: If the result is OK, save the file.",0x10,0x11,0x63,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xAF,0xF8,10 11 63 00 00 00 00 00 00 00 00 00 00 00 00 00 AF F8
Calibration related instructions,Pot lid,Cancel calibration results,Pot lid [Cancel calibration results],"If the effect is not OK, cancel the calibration and restore to the state before calibration.",0x10,0x11,0x62,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xCE,0x83,10 11 62 00 00 00 00 00 00 00 00 00 00 00 00 00 CE 83
Calibration related instructions,Pot lid,Empty the lid,Pot lid [Empty the lid],Used to test the effect of completely no pot lid calibration,0x10,0x11,0x64,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xA9,0x88,10 11 64 00 00 00 00 00 00 00 00 00 00 00 00 00 A9 88
Calibration related instructions,Pot lid,Restore the factory data of the pot cover,Pot lid [Restore the factory data of the pot cover],"After restoring the factory data, save",0x10,0x11,0x65,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xC8,0xF3,10 11 65 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 F3
System Features,Firmware Update,,Firmware Update [],"Before updating the firmware, you need to send this command to put the module into update mode.",0x01,0x01,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xA5,0xDB,01 01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 A5 DB
System Features,Anti-burn protection switch,Settings - Off,Anti-burn protection switch [Settings - Off],,0x10,0x03,0x4B,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x58,0x8D,10 03 4B 00 00 00 00 00 00 00 00 00 00 00 00 00 58 8D
System Features,Anti-burn protection switch,Setting-On,Anti-burn protection switch [Setting-On],,0x10,0x03,0x4B,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x2D,0x8E,10 03 4B 00 01 00 00 00 00 00 00 00 00 00 00 00 2D 8E
System Features,Anti-burn protection switch,Get,Anti-burn protection switch [Get], BE AA 02 00 0000 AD FA EB AA: Indicates off BE AA 02 00 0001 8C EA EB AA: indicates open,0x10,0x03,0x8B,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x2D,0x87,10 03 8B 00 00 00 00 00 00 00 00 00 01 00 00 00 2D 87
System Features,Module sleep,Settings-Wake-up,Module sleep [Settings-Wake-up],,0x10,0x10,0x48,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x54,0xAD,10 10 48 00 00 00 00 00 00 00 00 00 00 00 00 00 54 AD
System Features,Module sleep,Settings - Sleep,Module sleep [Settings - Sleep],"After sleeping, the video is frozen and only responds to the wake-up command, and does not respond to other commands.",0x10,0x10,0x48,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x21,0xAE,10 10 48 00 01 00 00 00 00 00 00 00 00 00 00 00 21 AE
System Features,Module sleep,Get,Module sleep [Get], BE AA 02 00 00 00 AD FA EB AA: Indicates working status BE AA 02 00 00 018C EA EB AA: Indicates sleep state,0x10,0x10,0x88,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x21,0xA7,10 10 88 00 00 00 00 00 00 00 00 00 01 00 00 00 21 A7
System Features,Boot logo,Settings - Off,Boot logo [Settings - Off],,0x10,0x10,0x41,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x5E,0x3D,10 10 41 00 00 00 00 00 00 00 00 00 00 00 00 00 5E 3D
System Features,Boot logo,Setting-On,Boot logo [Setting-On],,0x10,0x10,0x41,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x2B,0x3E,10 10 41 00 01 00 00 00 00 00 00 00 00 00 00 00 2B 3E
System Features,Boot logo,Get,Boot logo [Get],,0x10,0x10,0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x2B,0x37,10 10 81 00 00 00 00 00 00 00 00 00 01 00 00 00 2B 37
System Features,DVP/I2C Voltage Switching,Setting -1.8V,DVP/I2C Voltage Switching [Setting -1.8V],,0x10,0x10,0x47,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x39,0x36,10 10 47 00 00 00 00 00 00 00 00 00 00 00 00 00 39 36
System Features,DVP/I2C Voltage Switching,Setup - 3.3V,DVP/I2C Voltage Switching [Setup - 3.3V],,0x10,0x10,0x47,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x4C,0x35,10 10 47 00 01 00 00 00 00 00 00 00 00 00 00 00 4C 35
System Features,DVP/I2C Voltage Switching,Get,DVP/I2C Voltage Switching [Get],,0x10,0x10,0x87,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x4C,0x3C,10 10 87 00 00 00 00 00 00 00 00 00 01 00 00 00 4C 3C
System Features,Parameter save-restore,Parameter preservation,Parameter save-restore [Parameter preservation],,0x10,0x10,0x51,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xA9,0xFB,10 10 51 00 00 00 00 00 00 00 00 00 00 00 00 00 A9 FB
System Features,Parameter save-restore,Parameter recovery,Parameter save-restore [Parameter recovery],,0x10,0x10,0x52,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x0A,0x76,10 10 52 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 76
Get device information,Get module information,Device Name,Get module information [Device Name]," Receipt: BE AA 21 00 0043 61 6D 65 72 61 20 4D 49 4E 49 32 33 38 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 16 1A EB AA Device name: Camera MINI2384, the device name of mini2 series is 15 valid bytes",0x01,0x01,0x81,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x20,0x00,0x00,0x00,0xFC,0x1E,01 01 81 00 01 00 00 00 00 00 00 00 20 00 00 00 FC 1E
Get device information,Get module information,Firmware version,Get module information [Firmware version], Receipt: BE AA 0C 00 0030 30 2E 30 30 2E 30 31 2E 31 31 0A FE EB AA FW version:00.00.01.11,0x01,0x01,0x81,0x00,0x02,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x0B,0x00,0x00,0x00,0x32,0x32,01 01 81 00 02 00 00 00 00 00 00 00 0B 00 00 00 32 32
Get device information,Get module information,VID,Get module information [VID], Receipt: BE AA 03 00 0074 34 4E FB EB AA vid: 0x3474,0x01,0x01,0x81,0x00,0x04,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0X02,0x00,0x00,0x00,0x7B,0xCA,01 01 81 00 04 00 00 00 00 00 00 00 02 00 00 00 7B CA
Get device information,Get module information,PID,Get module information [PID], Receipt: BE AA 03 00 0020 00 E2 4F EB AA pid?0x0020,0x01,0x01,0x81,0x00,0x05,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0X02,0x00,0x00,0x00,0x0E,0xC9,01 01 81 00 05 00 00 00 00 00 00 00 02 00 00 00 0E C9
Get device information,Get module information,PN,Get module information [PN],Receipt: BE AA 21 00 00 4D 49 4E 49 32 33 38 34 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 30 68 EB AA pn: MINI2384xxxxxxxxxxxxxxxxxxxxxxxx,0x01,0x01,0x81,0x00,0x06,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x20,0x00,0x00,0x00,0xB7,0x16,01 01 81 00 06 00 00 00 00 00 00 00 20 00 00 00 B7 16
Get device information,Get module information,SN,Get module information [SN], Receipt: BE AA 21 00 006D 69 6E 69 32 33 38 34 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 7855 EA EB AA sn: mini2384xxxxxxxxxxxxxxxxxxxxxxxx,0x01,0x01,0x81,0x00,0x07,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x20,0x00,0x00,0x00,0xC2,0x15,01 01 81 00 07 00 00 00 00 00 00 00 20 00 00 00 C2 15
Get device information,Get module temperature,,Get module temperature []," BE AA 03 00 00 0C3D 7A EB AA: means 0x0CAA=3242, i.e. 32.42 degrees Note that this temperature is for reference only and the accuracy error may be more than ±10 degrees Celsius",0x10,0x10,0x91,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0X02,0x00,0x00,0x00,0x00,0x6A,10 10 91 00 00 00 00 00 00 00 00 00 02 00 00 00 00 6A
Get device information,Get the coordinates of the highest temperature point in the area of interest,,Get the coordinates of the highest temperature point in the area of interest [],"Example: Select the range (0, 0) to (383, 287): 0x011f = 287; 0x017f = 383 1. When setting the coordinates, pay attention to the upper left (x1, y1) first and then the lower right (x2, y2). That is, x1< x2, y1<y2 2. When getting: min value, average value, max value, min x, min y, max x, max y. All are uint16 type",0x10,0x10,0x92,0x00,0x00,0x00,0x00,0x00,0x7f,0x01,0x1f,0x01,0X0e,0x00,0x00,0x00,0xe8,0x0c,10 10 92 00 00 00 00 00 7f 01 1f 01 0e 00 00 00 e8 0c
Get device information,Get the coordinates of the highest temperature point in the area of interest,,Get the coordinates of the highest temperature point in the area of interest [],"Example: Select the range (50, 50) to (333, 237): 0x0032=50; 0x014d=333; 0x00ed=237 Receipt: BE AA 0F 00 00D4 1F AE 6F E0 79 4C 00 D2 00 39 00 33 00 D3 F0 EB AA 0x1FD4 is the minimum value, 0x6FAE is the average value, and 0x79E0 is the maximum value. 0x004c, 0x00D2 are the minimum value coordinates, that is, (76, 210), 0x0039 and 0x0033 are the maximum value coordinates, that is, (51, 57)",0x10,0x10,0x92,0x00,0x32,0x00,0x32,0x00,0x4d,0x01,0xed,0x00,0X0e,0x00,0x00,0x00,0x34,0x59,10 10 92 00 32 00 32 00 4d 01 ed 00 0e 00 00 00 34 59
Get device information,Get the power-on time,,Get the power-on time [], BE AA 05 00 00D7 01 00 00 EB 98 EB AA: means 0x000001D7=471s,0x10,0x10,0x93,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0X04,0x00,0x00,0x00,0x5B,0xBB,10 10 93 00 00 00 00 00 00 00 00 00 04 00 00 00 5B BB
Video output related,Digital video formats,Settings - USB - Progressive - 30hz,Digital video formats [Settings - USB - Progressive - 30hz],"Para1[0]: 0x01, indicating digital output is enabled; Para1[1]: 0x00, indicating USB line-by-line output; Para1[2]: 0x1e, indicating 30 Hz output. The array size is consistent with the detector output. Note that the maximum frame rate of mini2 640 in USB output mode is 30 Hz.",0x10,0x10,0x46,0x00,0x01,0x00,0x1E,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x4f,0xe3,10 10 46 00 01 00 1E 00 00 00 00 00 00 00 00 00 4f e3
Video output related,Digital video formats,Settings - USB - Progressive - 60hz,Digital video formats [Settings - USB - Progressive - 60hz],"Para1[0]: 0x01, indicating digital output is turned on; Para1[1]: 0x00, indicating USB line-by-line output; Para1[2]: 0x3c, indicating 60 Hz output. The array size is consistent with the detector output. Note that mini2 640 will return an error if this command is set",0x10,0x10,0x46,0x00,0x01,0x00,0x3C,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xc8,0x04,10 10 46 00 01 00 3C 00 00 00 00 00 00 00 00 00 c8 04
Video output related,Digital video formats,settings-dvp-progressive-30hz,Digital video formats [settings-dvp-progressive-30hz],"Para1[0]: 0x01, indicating digital output is turned on; Para1[1]: 0x01, indicating DVP line-by-line output; Para1[2]: 0x1e, indicating 30 Hz output; the array size is consistent with the detector output",0x10,0x10,0x46,0x00,0x01,0x01,0x1E,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x06,0x3b,10 10 46 00 01 01 1E 00 00 00 00 00 00 00 00 00 06 3b
Video output related,Digital video formats,settings-dvp-progressive-60hz,Digital video formats [settings-dvp-progressive-60hz],"Para1[0]: 0x01, indicating digital output is turned on; Para1[1]: 0x01, indicating DVP line-by-line output; Para1[2]: 0x3c, indicating 60 Hz output; the array size is consistent with the detector output",0x10,0x10,0x46,0x00,0x01,0x01,0x3C,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x81,0xdc,10 10 46 00 01 01 3C 00 00 00 00 00 00 00 00 00 81 dc
Video output related,Digital video formats,settings -bt656 -progressive -30hz,Digital video formats [settings -bt656 -progressive -30hz],"Para1[0]: 0x01, indicating digital output is turned on, Para1[1]: 0x02, indicating bt656 line-by-line output, Para1[2]: 0x1e, indicating 30hz output, the array size is consistent with the detector output",0x10,0x10,0x46,0x00,0x01,0x02,0x1E,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xfc,0x43,10 10 46 00 01 02 1E 00 00 00 00 00 00 00 00 00 fc 43
Video output related,Digital video formats,settings -bt656-progressive-60hz,Digital video formats [settings -bt656-progressive-60hz],"Para1[0]: 0x01, indicating digital output is turned on, Para1[1]: 0x02, indicating bt656 line-by-line output, Para1[2]: 0x3c, indicating 60hz output, the array size is consistent with the detector output",0x10,0x10,0x46,0x00,0x01,0x02,0x3C,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x7b,0xa4,10 10 46 00 01 02 3C 00 00 00 00 00 00 00 00 00 7b a4
Video output related,Digital video formats,settings -bt656 -interlaced -25hz,Digital video formats [settings -bt656 -interlaced -25hz],"Para1[0]: 0x01, indicating digital output is enabled, Para1[1]: 0x12, indicating bt656 interlaced output, Para1[2]: 0x00, invalid, the array size is fixed720*576, the frame rate is fixed at 25hz, which is the standard BT656 interlaced timing",0x10,0x10,0x46,0x00,0x01,0x12,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xa3,0xbb,10 10 46 00 01 12 00 00 00 00 00 00 00 00 00 00 a3 bb
